Balliol College,,Balliol College,,United Kingdom,Oxfordshire,Oxford,51.75,-1.25,
Ruskin College,,Ruskin College,,United Kingdom,Oxfordshire,Oxford,51.75,-1.26,"Ruskin College in Oxford, England"
London,,London,,United Kingdom,United Kingdom,London,51.51,-0.08,
Paris,,Paris,,France,France,Paris,48.86,2.33,
United States of America,,United States of America,,United States of America,-9999,-9999,39,-100,
Columbia University,,Columbia University,,United States of America,New York,New York,40.8,-73.96,"Main campus of Columbia University in New York City, NY, USA"
Delhi,,Delhi,,India,Delhi,Delhi,28.61,77.2,
Great Britain,,Great Britain,,United Kingdom,-9999,-9999,54,-2,
Hungary,,Hungary,,Hungary,-9999,-9999,47,20,
Delhi School of Economics,,Delhi School of Economics,,India,New Delhi,Delhi,28.68,77.2,"The Dehli School of Economics is a prestigious academic institution in India. It was formed in 1949 when a group of visionaries led by Professor V.K.R.V. Rao and supported by India's first Prime Minister Jawaharlal Nehru launched a project to create a centre for advanced studies in the social sciences. The school has a department of economics, sociology and geography. This school has several well known and world renowned individuals in its list of present and former faculty, like Amartya Sen and the current Prime Minister of India, Manmohan Singh. Several Alumni from the economics department of this school have been very successful worldwide."
Barisal,,Barisal,,Bangladesh,Barisal,Barisal,22.710552,90.365229,
North India,,North India,,India,-9999,-9999,28,77,
Netherlands,,Netherlands,,Netherlands,-9999,-9999,52.5,5.75,
Denmark,,Denmark,,Denmark,-9999,-9999,56,9.1,
Bengladesh,,Bengladesh,East Bengal,Bengladesh,-9999,-9999,24,90,
School of Oriental and African Studies,,School of Oriental and African Studies,,United Kingdom,United Kingdom,London,51.52,-0.12,Students loitering at the entrance of the School of Oriental and African Studies at the University of London
University of Manchester,,University of Manchester,,United Kingdom,Manchester,Manchester,53.46,-2.23,University Place at University of Manchester
Moulana Azad College,,Moulana Azad College,Central Calcutta College,India,West Bengal,Kolkata,22.55,88.35,"Gate at Moulana Azad College in Calcutta, India"
Jadavpur University,,Jadavpur University,,India,West Bengal,Kolkata,22.49,88.37,"Students walking across campus at Jadavpur University in Kolkata, India"
France,,France,,France,-9999,-9999,46.6,2.5,
Duke University,,Duke University,,United States of America,North Carolina,Durham,36,-78.93,Duke Chapel at Duke University's western campus
University of California Berkeley,,University of California Berkeley,,United States of America,California,Berkeley,37.87,-122.25,"Panoramic view of Wheeler Hall at University of California, Berkeley in California, USA"
University of Pennsylvania,,University of Pennsylvania,,United States of America,Pennsylvania,Philadelphia,39.95,-75.19,"Front of the University of Pennsylvania School of Medicine in Pennsylvania, USA"
Harvard University,,Harvard University,,United States of America,Massachusetts,Cambridge,42.37,-71.11,"Harvard Yard at Harvard University in Cambridge, Massachusetts, USA"
Cavalry Lines,,Cavalry Lines,,India,New Delhi,Delhi,28.69,77.21,
University of Delhi,,University of Delhi,,India,New Delhi,Delhi,28.58,77.16,"Hindu College at University of Delhi in Delhi, India"
British Academy,,British Academy,,United Kingdom,United Kingdom,London,51.5,-0.13,
Old Indian Institute,,Old Indian Institute,,United Kingdom,Oxfordshire,Oxford,51.75,-1.25,"View of the Cattle Street side of the Old Indian Institute in Oxford, England"
Uttar Pradesh,,Uttar Pradesh,,India,Uttar Pradesh,-9999,27.5,80,
Dhaka Hall,,Shahidullah Hall,Dhaka Hall,Bengladesh,Dhaka,Dhaka,-9999,-9999,
China,,China,,China,-9999,-9999,34,102.5,
Australia,,Australia,,Australia,-9999,-9999,-24.5,133,
The Australian National University,,The Australian National University,,Australia,Australian Capital Territory,Canberra City,-35.27,149.12,
Oxford Center For South Asian Studies,,,Oxford Center For South Asian Studies,,,,-9999,-9999,"Th Oxford center for South Asian studies refers to the facilities that Oxford offers to study several aspects of South Asian history, language and society. This center possesses a diverse faculty and student body as well as a wide range of classes. It is a world renowned center for South Asian studies."
South Asia,,South Asia,,-9999,-9999,-9999,24,84,
Germany,,Germany,,Germany,-9999,-9999,51,10.2,
Japan,,Japan,,Japan,-9999,-9999,36.5,139,
University of Sussex,,University of Sussex,,United Kingdom,East Sussex,Falmer,50.86,-0.08,This university was one of the first new universities that was established in the 1960s. It received its Royal Charter in 1961. Sussex is now a leading teaching and research institution.
Europe,,Europe,,-9999,-9999,-9999,48,19,
National Library,,National Library,Lieutenant Governors House,India,West Bengal,Kolkata,22.53,88.33,"National Library of India, which originally was the residence of the Viceroy in the British era"
The British Library,,India Office,The British Library,,library,United Kingdom,-1,-1,
Southeast Asia,,Southeast Asia,,-9999,-9999,-9999,14,106,
North Bengal,,,North Bengal,-9999,-9999,-9999,25,89,
St Stephens College,,St Stephens College,,India,New Delhi,Delhi,28.686512,77.211045,
Jawaharial Nehru University,,Jawaharial Nehru University,,India,New Delhi,Delhi,28.54,77.16,"Campus of Jawaharlal Nehru University in New Delhi, India"
University of Allahabad,,University of Allahabad,,India,Uttar Pradesh,Allahabad,25.460247,81.852575,"Science faculty's mathematics department at Allahabad University in Allahabad, Uttar Pradesh, India"
University of Lucknow,,University of Lucknow,,India,Uttar Pradesh,Lucknow,26.86,80.93,
University of Pune,,University of Pune,,India,Maharashtra,Pune,18.55,73.82,"Main building, aging over one-hundred years at the University of Pune in Pune, India"
Banaras Hindu University,,Banaras Hindu University,,India,Uttar Pradesh,Varanasi,25.26,82.99,"Entrance of Banaras Hindu University in Varanasi, India featuring the statue of Pandit Madan Mohan Malaviya in front of the University's main gate"
KBI,,,,,,,-9999,-9999,
Kolkata Port Trust,,Kolkata Port Trust,,India,West Bengal,Kolkata,22.57,88.34,
Oxford Mission Kolkata,,Oxford Mission Kolkata,,India,West Bengal,Kolkata,22.57,88.36,
North Calcutta House,,,,,,,-9999,-9999,
India Institute of Technology Kharagpur,,India Institute of Technology Kharagpur,,India,West Bengal,Kharagpur,22.31,87.3,
Government Eden Hindu Hostel,,Government Eden Hindu Hostel,,India,West Bengal,Kolkata,22.56,88.35,
Eden Hospital,,Eden Hospital,,India,West Bengal,Kolkata,22.57,88.35,
Durbar Hall,,Durbar Hall,,India,West Bengal,Kolkata,22.566701,88.347228,
Central Avenue,,,,,,,-9999,-9999,
Balanpur College,,,,,,,-9999,-9999,
University College of Science and Technology,,University College of Science and Technology,,India,West Bengal,Kolkata,22.57,88.37,
Tea Estates in Assam,,Tea Estates in Assam,,India,Assam,-9999,26.62,93.56,
Scottish Church College Gate,,,,,,,-9999,-9999,
Puerto Rico,,Puerto Rico,,United States of America,Puerto Rico,,18.2208,-66.59,
Indian Statistical Institute,,Indian Statistical Institute,,India,West Bengal,Kolkata,22.64873,88.376563,
Fort Worth,,Fort Worth,,United States of America,Texas,Fort Worth,32.725409,-97.320849,
College Street,,College Street,,India,West Bengal,Kolkata,22.574,88.363,
Glasgow,,Glasgow,,United Kingdom,Scotland,Glasgow,55.833333,-4.25,
Chittagong,,Chittagong,,Bangladesh,Chittagong,Chittagong,22.298,91.802,
Barakpur,,Barakpur,,India,West Bengal,Barakpur,22.757401,88.368156,
Alipur,,Alipur,,India,West Bengal,Kolkata,22.296324,88.077538,
All India Institute of Hygiene and Public Helth,,All India Institute of Hygiene and Public Helth,,India,West Bengal,Kolkata,22.575438,88.36001,
Assam,,Assam,,India,Assam,-9999,26,93,
Bagbazar Street,,Bagbazar Street,,India,West Bengal,Kolkata,22.603712,88.368869,
Bagh Bazar,,Bagh Bazar,,India,West Bengal,Kolkata,22.6,88.366,
Goppi Mohan Dutta Lane,,Goppi Mohan Dutta Lane,,India,West Bengal,Kolkata,22.604,88.373,
Beijing,,Beijing,Peking,China,-9999,Beijing,39.928889,116.388333,
Bethune College,,Bethune College,,India,West Bengal,Kolkata,22.588184,88.368433,
Bhawanipur,,Bhawanipur,,India,West Bengal,Kolkata,22.532432,88.344576,
Burma,,Burma,,Burma,-9999,-9999,22,98,
Canada,,Canada,,Canada,-9999,-9999,60,-96,
Yale University,,Yale University,,United States of America,Connecticut,New Haven,41.311208,-72.925491,
Royal Technical College,,Royal Technical College,,United Kingdom,Scotland,Glasgow,55.861283,-4.245768,
Haflong Hill,,Haflong Hill,,India,Assam,Haflong,25.15,93.05,
National Institute of Occupational Health,,National Institute of Occupational Health,,India,Delhi,New Delhi,28.568857,77.21444,
New York,,New York,,United States of America,New York,-9999,42.919,-76.646,
North Kolkata,,North Kolkata,,India,West Bengal,Kolkata,22.618641,88.379237,
Johns Hopkins University,,Johns Hopkins University,,United States of America,Maryland,Baltimore,39.328995,-75.620523,
Naval Station Pearl Harbor,,Naval Station Pearl Harbor,,United States of America,Hawaii,Honolulu,21.355,-157.972,
Philadelphia,,Philadelphia,,United States of America,Pennsylvania,Philadelphia,39.996,-75.147,
Rajasthan,,Rajasthan,,India,Rajasthan,-9999,26,74,
Calcutta School of Tropical Medicine,,Calcutta School of Tropical Medicine,,India,West Bengal,Kolkata,22.574704,88.360028,
Ahmedabad,,Ahmedabad,,India,Gujarat,Ahmedabad,23.014014,72.593629,"The Gujrat Riots were the result of the burning of the Sabarmati Express train at Godhra city in the state of Gujarat. This took place on February 27, 2002 when the train was forcibly attacked by a large Muslim mob. This resulted in the death of many Hindu passengers who were returning from the holy city of Ayodhya and consequently severe massacres and riots that led to the death of many thousand Hindus and Muslims."
Hamburg,,Hamburg,,Germany,Hamburg,Hamburg,53.570997,10.027998,
Singapore,,Singapore,,Singapore,-9999,Singapore,1.293056,103.855833,
Scotland,,Scotland,,United Kingdom,Scotland,-9999,56,-4,
Indiana,,Indiana,,United States of America,Indiana,-9999,40.156,-86.043,
Iowa,,Iowa,,United States of America,Iowa,-9999,42.113,-93.641,
Park Circus,,Park Circus,,India,West Bengal,Kolkata,22.537886,88.368246,
Pasadena,,Pasadena,,United States of America,California,Pasadena,34.1477849,-118.1445155,
Allahabad,,Allahabad,,India,Uttar Pradesh,Allahabad,25.432,81.874,
Bengal Engineering and Science University,,Bengal Engineering and Science University,,India,West Bengal,Shivpur,22.554761,88.306926,
Mumbai,,Mumbai,Bombay,India,Maharashtra,Mumbai,19.077003,72.826003,
Edinburgh,,Edinburgh,,United Kingdom,Scotland,Edinburgh,55.924002,-3.249998,
Jadabpur,,Jadabpur,,India,West Bengal,Kolkata,22.483333,88.383333,
Puripani,,Puripani,,India,Orissa,Puripani,19.18,84.33,
Shivpur,,Shivpur,,India,Rajasthan,Shivpur,30.05,73.866667,
Silchar,,Silchar,,India,Assam,Silchar,24.816667,92.8,
South India,,South India,,India,-9999,-9999,10.28215,77.757826,
Harish Mukherjee Road,,Harish Mukherjee Road,,India,West Bengal,Kolkata,22.531155,88.343416,
Alipore Central Jail,,Alipore Central Jail,,India,West Bengal,Kolkata,22.525585,88.33986,
Senate House,,Senate House,,India,West Bengal,Kolkata,22.574444,88.364448,
Massachusetts Institute of Technology,,Massachusetts Institute of Technology,,United States of America,Massachusetts,Cambridge,42.3595417,-71.0917185,
Dam Dam,,Dam Dam,,India,West Bengal,Dam Dam,22.622222,88.416944,
Bishnupur,,Bishnupur,,India,West Bengal,Bishnupur,23.083333,87.316667,
Rajarhat,,,,,,,-9999,-9999,
Downing College,,Downing College,,United Kingdom,Gloucestershire,Cambridge,52.201016,0.125994,
St Johns College,,St Johns College,,United Kingdom,Oxfordshire,Oxford,51.756418,-1.259053,
Satpukur,,Satpukur,,India,West Bengal,Satpukur,22.032222,88.339167,
Nagpur,,Nagpur,,India,Mah?r?shtra,Nagpur,21.155507,79.082561,
Central India,,Central India,,India,-9999,-9999,21,79,
Nagpur University,,Nagpur University,,India,Mah?r?shtra,Nagpur,21.145777,79.075266,
Brighton,,Brighton,,United Kingdom,United Kingdom,Brighton,50.833333,-0.15,
Cambridge,,Cambridge,,United States of America,Massachusetts,Cambridge,42.375097,-71.1056079,
University of the Punjab,,University of the Punjab,,Pakistan,Punjab,Lahore,31.490773,74.294736,
Middle East,,Middle East,,-9999,-9999,-9999,33,41.5,
Polar East,,,,,,,-9999,-9999,
Vienna,,Vienna,,Austria,Wien,Vienna,48.202119,16.320979,
Cunchura,,Chunchura,,India,West Bengal,Chunchura,22.87,88.39,
Pathpara,,,,,,,-9999,-9999,
Bengal Club,,Bengal Club,,India,West Bengal,Kolkata,22.55337,88.351021,
The Tollygunge Club,,The Tollygunge Club,,India,West Bengal,Kolkata,22.493342,88.341996,
Calcutta South Club Ltd,,Calcutta South Club Ltd,,India,West Bengal,Kolkata,22.539513,88.352382,
Jaipur,,Jaipur,,India,West Bengal,Kolkata,26.923076,75.813939,
Asia,,Asia,,-9999,-9999,-9999,50,90,
Calcutta Club Ltd,,Calcutta Club Ltd,,India,West Bengal,Kolkata,22.54157,88.346145,
The 300 Club,,The 300 Club,,India,West Bengal,Kolkata,-1,-1,
Berlin,,Berlin,,Germany,Berlin,Berlin,52.516269,13.32757,
Sussex,,Sussex,,United Kingdom,United Kingdom,Sussex,50.916667,-0.083333,
South Kolkata,,South Kolkata,,India,West Bengal,Kolkata,22.48,88.35,
Victoria Memorial,,Victoria Memorial,,India,West Bengal,Kolkata,22.544915,88.342569,
Kolkata Region,,Kolkata Region,,India,West Bengal,Kolkata,22.55,88.35,
Lahore,,Lahore,,Pakistan,Punjab,Lahore,31.521559,74.349256,
Atlanta,,Atlanta,,United States of America,Georgia,Atlanta,33.7706623,-84.500209,
Colombo,,Colombo,,Sri Lanka,Western,Colombo,6.927003,79.848001,
Hong Kong Island,,Hong Kong Island,,Hong Kong,Hong Kong,Hong Kong,22.25,114.183333,
San Francisco,,San Francisco,,United States of America,California,San Francisco,37.7749295,-122.4194155,
Shanghai,,Shanghai,,China,Zhejiang,Shanghai,31.248,121.473001,
Los Angeles,,Los Angeles,,United States of America,California,Los Angeles,34.0522342,-118.2436849,
Hollywood,,Hollywood,,United States of America,California,Hollywood,34.0983425,-118.3267434,
United States Pacific Coast,,United States Pacific Coast,,United States of America,-9999,-9999,41,-124,
The Museum of Modern Art,,The Museum of Modern Art,,United States of America,New York,New York,40.7612126,-73.9770832,
Florentine Gardens,,Florentine Gardens,,United States of America,California,Hollywood,34.102379,-118.31987,
Washington,,Washington,,United States of America,District of Colombia,Washington,38.8951118,-77.0363658,
Southampton,,Southampton,,United Kingdom,Southampton,Southampton,50.9,-1.4,
Hong Kong,,Hong Kong,,Hong Kong,Hong Kong,Hong Kong,22.274001,114.176998,
Varinasi,,Varinasi,,India,Uttar Pradesh,Varinasi,25.333333,83,
Varanasi Ghats,,Varanasi Ghats,,India,Uttar Pradesh,V?r?nasi,25.306893,83.010635,
New Zealand,,New Zealand,,New Zealand,-9999,-9999,-42,173,
University of California Santa Cruz,,University of California Santa Cruz,,United States of America,Calafornia,Santa Cruz,36.9974498,-122.0527418,
Italy,,Italy,,Italy,-9999,-9999,42.5,13,
University College London,,University College London,,United Kingdom,United Kingdom,London,51.524605,-0.133746,
University of London,,University of London,,United Kingdom,United Kingdom,London,51.527454,-0.126692,
Slade School of Fine Art,,Slade School of Fine Art,,United Kingdom,United Kingdom,London,51.52496,-0.1344,
Chelsea College of Art and Design,,Chelsea College of Art and Design,Hammersmith School of Art,United Kingdom,United Kingdom,London,51.49239,-0.127763,
Amsterdam,,Amsterdam,,Netherlands,Noord-Holland,Amsterdam,52.373043,4.894839,
Boston,,Boston,,United States of America,Massachusetts,Boston,42.3584308,-71.0597732,
The Warburg Institute,,The Warburg Institute,,United Kingdom,United Kingdom,London,51.52351,-0.129269,
Lady Brabourne College of Kolkata,,Lady Brabourne College of Kolkata,,India,West Bengal,Kolkata,22.54412,88.368194,
St Xavier College Kolkata,,St Xavier College,St Xavier College,,college/university,India,-1,-1,
Cambridge University Library,,Cambridge University Library,,United Kingdom,Cambridgeshire,Cambridge,52.205167,0.108056,
Florence,,Florence,,Italy,Toscana,Florence,43.781571,11.207746,
Guantanamo Bay Naval Base,,Guantanamo Bay Naval Base,,Cuba,Guantnamo,-9999,19.902412,-75.101435,
New York University,,New York University,,United States of America,New York,New York,40.7287132,-73.9959727,
University of Victoria,,University of Victoria,,Canada,British Columbia,Victoria,48.466956,-123.30764,
Vancouver,,Vancouver,,Canada,British Columbia,Vancouver,49.25,-123.133333,
Chicago,,Chicago,,United States of America,Illinois,Chicago,41.850033,-87.6500523,
Clare Hall,,Clare Hall,,United Kingdom,Cambridgeshire,Cambridge,52.204353,0.102357,
Churchill College,,Churchill College,,United Kingdom,Cambridgeshire,Cambridge,52.212887,0.103124,
Institute for Advanced Study,,Institute for Advanced Study,,United States of America,New Jersey,Princeton,40.332122,-74.667324,
Princeton University,,Princeton University,,United States of America,New Jersey,Princeton,40.348163,-74.662271,
Getty Center for the History of Art and the Humanities,,Getty Center for the History of Art and the Humanities,,United States of America,California,Los Angeles,34.0194542,-118.4984136,
Sterling and Francine Clark Art Institute,,Sterling and Francine Clark Art Institute,,United States of America,Massachusetts,Williamstown,42.7142471,-73.20844,
Courtauld Institute of Art,,Courtauld Institute of Art,,United Kingdom,United Kingdom,London,51.507422,-0.128352,
Chichester Cathedral,,Chichester Cathedral,,United Kingdom,West Sussex,Chichester,50.836785,-0.781673,
Portland,,Portland,,United States of America,Oregon,Portland,45.437832,-122.642113,
New England,,New England,,United States of America,-9999,-9999,43,-72,
Rome,,Rome,,Italy,Lazio,Rome,41.879997,12.52,
Venice,,Venice,,Italy,Veneto,Venice,45.424773,12.370717,
West Bank,,West Bank,,West Bank,-9999,-9999,31.95216,35.233154,
Latin America,,Latin America,,-9999,-9999,-9999,3,-69,
Mexico,,Mexico,,Mexico,-9999,-9999,20,-100,
Stockholm,,Stockholm,,Sweden,Stockholms LSn,Stockholm,59.331168,17.991451,
Sao Paulo,,Sao Paulo,,Brazil,Rio Grande do Sul,Sao Paulo,-28.683333,-51.366667,
University of the Arts London,,University of the Arts London,,United Kingdom,United Kingdom,London,51.513432,-0.149268,
Brussels,,Brussels,,Belgium,Bruxelles-Capitale,Brussels,50.837004,4.367998,
Muslim Area of Kolkata,,,Muslim Area of Kolkata,India,West Bengal,Kolkata,-1,-1,
Park Circus House,,,,India,West Bengal,Kolkata,-9999,-9999,
Gokul Road,,,,India,West Bengal,Kolkata,-9999,-9999,
Hindu Area of Kolkata,,,Hindu Area of Kolkata,India,West Bengal,Kolkata,-1,-1,
K C De,,,,India,West Bengal,Kolkata,-1,-1,
Casper,,,,United States of America,District of Columbia,Washington,-9999,-9999,
Dharmatala Street 43,,,,India,West Bengal,Kolkata,22.522684,88.38474,
Africa,,Africa,,-9999,-9999,-9999,4,26,
Ananda Bazar Patrika,,Ananda Bazar Patrika,,India,West Bengal,Kolkata,22.567308,88.3534,
Bara Bazaar,,Bara Bazaar,,-9999,-9999,Kolkata,22.56662,88.34997,
University of Bombay,,University of Mumbai,University of Bombay,India,Maharashtra,Mumbai,18.931437,72.830513,
Canberra,,Canberra,,Australia,Australian Capital Territory,Canberra,-35.350002,149.042008,
Chowringhee,,Chowringhee,,India,West Bengal,Kolkata,22.543559,88.348837,
Coronwalis Street,,Coronwalis Street,,India,West Bengal,Kolkata,22.6,88.37,
Dehradun,,Dehradun,,India,Uttranchal,Dehradun,30.709711,77.914551,
Doordarshan,,,,,,,-9999,-9999,
Dover Lane,,Dover Lane,,India,West Bengal,Kolkata,22.520974,88.362774,
Goabagan,,Goabagan,,India,West Bengal,Kolkata,22.588585,88.371322,
Ganges,,Ganges,,-9999,-9999,-9999,23.366667,90.533333,
Gorakhpur,,Gorakhpur,,India,Uttar Pradesh,Gorakhpur,26.750817,83.377913,
Mahatma Gandhi Road,,Mahatma Gandhi Road,Harrison Road,India,West Bengal,Kolkata,22.577689,88.363301,
Iraq,,Iraq,,Iraq,-9999,-9999,33,43.5,
La Trobe University,,La Trobe University,,Australia,Victoria,Melbourne,-37.809651,144.957624,
Hoogly Haora bridge,,Hoogly Haora bridge,,India,West Bengal,Kolkata,22.585089,88.346981,
Malibu Beach,,Malibu Beach,,United States of America,California,Malibu,34.0319521,-118.6884187,
Melbourne,,Melbourne,,Australia,Victoria,Melbourne,-37.852956,145.075105,
Nandigram,,Nandigram,,India,West Bengal,Nandigram,22.016667,87.966667,
Nawab of Bengal,,,,,,,-9999,-9999,
Pushkar,,Pushkar,,India,Rajasthan,Pushkar,26.498238,74.552503,
Rabindra Bhavan,,,,,,,-9999,-9999,
Rayerkaki,,,,,,,-9999,-9999,
Russia,,Russia,,Russia,-9999,-9999,63,80,
Switzerland,,Switzerland,,Switzerland,-9999,-9999,46.75,8,
Great Salt Lake,,Great Salt Lake,,United States of America,Utah,-9999,41.1918856,-112.2977238,
Sanskrit College,,Sanskrit College,,India,West Bengal,Kolkata,22.589536,88.367087,
Santa Barbara,,Santa Barbara,,United States of America,California,Santa Barbara,34.4208305,-119.6981901,
Shinti Niketan,,Shinti Niketan,,India,West Bengal,Shinti Niketan,23.683333,87.683333,
Zamindari,,,,,,,-9999,-9999,"Zamindars were officials employed by the Mughals to collect taxes from the peasants. The Zamindari system used the existing system of pre- Mughal era, land tenureto implement sharia rule over the country. This system was then used by the British as well but was abolished after independence."
West Bengal,,West Bengal,,India,West Bengal,-9999,23,87.8,
Vivekananda road,,Vivekananda road,,India,West Bengal,Kolkata,22.585489,88.368179,
Venezuela,,Venezuela,,Venezuela,-9999,-9999,7,-68,
Monash University,,Monash University,,Australia,Victoria,Clayton,-37.912729,145.133481,
University of California Los Angeles,,University of California Los Angeles,,United States of America,California,Los Angeles,34.068912,-118.444831,
Assam Bengal railway headquarters,,,Assam Bengal railway headquarters,India,Assam,Chittagong,-9999,-9999,
Bungalow,,,,India,Assam,,-9999,-9999,
National Medical College And Hospital Kolkata,,Medical College And Hospital Kolkata,Calcutta Medical College,India,West Bengal,Kolkata,22.573592,88.3594,
National Medical College Hostel,,National Medical College Hostel,,India,West Bengal,Kolkata,22.54605,88.3714,
Raj Bhavan,,Raj Bhavan,,India,West Bengal,Kolkata,22.566701,88.347228,
Birmingham,,Birmingham,,United Kingdom,Birmingham,Birmingham,52.492752,-1.863342,
Dhaka,,Dhaka,,Bangladesh,Dhaka,-9999,24,90.2,
Chandannagar,,Chandannagar,,India,West Bengal,Chandannagar,22.864069,88.365268,
Patna,,Patna,,India,Bihar,Patna,25.598916,85.196929,
Raja Dinendra Street,,Raja Dinendra Street,,India,West Bengal,Kolkata,-1,-1,
Acharya Jagdish Chandra Bose Road,,Acharya Jagdish Chandra Bose Road,Circular/Lower Circular Road,India,West Bengal,Kolkata,22.541091,88.358564,
Brahmo Boys School,,Brahmo Boys School,,India,West Bengal,Kolkata,22.57,88.36,
Jhamapukur Lane,,Jhamapukur Lane,,India,West Bengal,Kolkata,22.5794,88.369084,
St James School,,St James School,,India,West Bengal,Kolkata,22.554691,88.3654,
St Xaviers College Fathers Library,,St Xaviers College Fathers Library,,India,West Bengal,Kolkata,-1,-1,
Cherubin Sarkars Home,,Cherubin Sarkars Home,,India,West Bengal,,-9999,-9999,
London School of Economics and Political Science,,London School of Economics and Political Science,,United Kingdom,London,London,51.396021,-0.271483,
Centre for Studies in Social Sciences Calcutta,,Centre for Studies in Social Sciences Calcutta,Centre for Studies in Social Sciences Calcutta,,institution,India,-1,-1,
University of Chicago,,University of Chicago,,United States of America,Illinois,Chicago,41.789569,-87.599632,
Lucknow,,Lucknow,,India,Uttar Pradesh,Lucknow,26.818474,80.95137,
Simla,,Simla,,India,West Bengal,Simla,22.894731,88.382719,
New Delhi,,New Delhi,,India,Delhi,Delhi,28.61224,77.218409,
Sitaram Ghosh Street,,Sitaram Ghosh Street,,India,West Bengal,Kolkata,22.575937,88.367351,
Mitra Institution Main,,Mitra Institution Main,,India,West Bengal,Kolkata,22.57247,88.368133,
Surya Sen Street,,Surya Sen Street,Mirzapur Street,India,West Bengal,Kolkata,22.572902,88.366814,
College Square,,College Square,,India,West Bengal,Kolkata,22.574752,88.363957,
Suez Canal University,,Suez Canal University,,Egypt,Al Ismailia,Ismailia,30.58923,32.26585,
Mandir Street,,Mandir Street,,India,West Bengal,Kolkata,-1,-1,
University Institute Hall,,University Institute Hall,,India,West Bengal,Kolkata,-9999,-9999,
Baker Laboratory,,Baker Laboratory,,India,West Bengal,Kolkata,-9999,-9999,
Chung Wah,,Chung Wah,,India,West Bengal,Kolkata,22.567477,88.355279,
Connaught Place,,Connaught Place,,India,Delhi,Delhi,28.633333,77.216667,
Ansari Road,,Ansari Road,Darya Ganj,India,Delhi,Delhi,28.643016,77.244423,
Muzaffarpur,,Muzaffarpur,,India,Bihar,Muzaffarpur,26.120145,85.386351,
Central Bengal,,,Central Bengal,India,-9999,-9999,25.6,85.9,
Cornell University,,Cornell University,,United States of America,New York,Ithaca,42.4470171,-76.4829955,
University of California San Diego,,University of California San Diego,,United States of America,California,San Diego,32.8769912,-117.2408697,
California,,California,,United States of America,California,-9999,36.75,-120,
The Indian Coffee House College Street Branch,,The Indian Coffee House College Street Branch,,India,West Bengal,Kolkata,22.57,88.36,
Brandeis University,,Brandeis University,,United States of America,Massachusetts,Waltham,42.366763,-71.257834,
Harvard Square,,Harvard Square,,United States of America,Massachusetts,Cambridge,42.373708,-71.1194971,
Prentice Street,,Prentice Street,,United States of America,Massachusetts,Cambridge,42.380173,-71.250025,
Seattle University,,Seattle University,,United States of America,Washington,Seattle,47.6112096,-122.3184594,
Saha Institute,,Saha Institute,,India,West Bengal,Kolkata,22.600888,88.420662,
Indian Institute of Science,,Indian Institute of Science,,India,Karnataka,Bangalore,13.022121,77.566684,
Bangalore,,Bangalore,,India,Karnataka,Bangalore,12.964305,77.605002,
Tata Institute of Fundamental Research,,Tata Institute of Fundamental Research,,India,Maharashtra,Mumbai,18.906472,72.804811,
University of Dhaka,,University of Dhaka,,Bangladesh,Dhaka,Dhaka,23.734214,90.392782,
University of Virginia,,University of Virginia,,United States of America,Virginia,Charlottesville,38.0356053,-78.5032865,
University of Rochester,,University of Rochester,,United States of America,New York,Rochester,43.129229,-77.628057,
McGill University,,McGill University,,Canada,Quebec,Montreal,45.503617,-73.574766,
